Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -5.991119, -7.207275
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -5.860077, -7.311279
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -5.780579, -7.372498
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -5.753937, -7.392761
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -5.700470, -7.432922
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -5.673615, -7.452881
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -5.646713, -7.472717
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -5.646698, -7.472717
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
